user_id,battery_capacity_(kwh),charging_station_id,energy_consumed_(kwh),charging_duration_(hours),charging_rate_(kw),charging_cost_(usd),time_of_day,day_of_week,state_of_charge_(start_%),state_of_charge_(end_%),distance_driven_(since_last_charge)_(km),temperature_(°c),vehicle_age_(years),charger_type,vehicle_model_BMW i3,vehicle_model_Chevy Bolt,vehicle_model_Hyundai Kona,vehicle_model_Nissan Leaf,vehicle_model_Tesla Model 3,charging_station_location_Chicago,charging_station_location_Houston,charging_station_location_Los Angeles,charging_station_location_New York,charging_station_location_San Francisco,user_type_Casual Driver,user_type_Commuter,user_type_Long-Distance Traveler,start_hour,start_day,start_month,end_hour,end_day,end_month
1,1.645479988101605,391,0.8274145575181924,-1.5820845192264745,0.7650637305223552,-0.8805494412276016,2,2,-0.8210440442933058,0.6429836484558876,1.671617948776785,0.8555717164629318,-0.698518411133098,2,1,0,0,0,0,0,1,0,0,0,0,1,0,5,8,4,6,8,4
2,1.235034935104349,428,-1.3879241992338316,0.8148654275321263,0.3466835662603296,-0.1323949167808156,0,1,-1.6212014401529173,0.557730657493253,-0.49427114479095996,-0.06425142983738169,-0.26542083743714423,0,0,0,1,0,0,0,0,0,0,1,1,0,0,8,8,4,14,8,4
3,0.02256685793329226,181,-1.076981251901225,0.1727977713693171,0.11490084512811645,1.2203783128565988,0,4,-1.7567165617413811,-0.3059588521019021,-0.9753721053396429,0.3870609940946762,-0.698518411133098,1,0,1,0,0,0,0,0,0,0,1,0,1,0,11,8,4,18,8,4
4,-1.1899012192377647,327,1.6859001577265695,-0.9456096904498328,0.508216167189406,-0.8853392378796987,2,6,1.4124235383767598,1.4339101671235288,0.5495338662864434,1.5549270284633583,-1.1316159848290517,0,0,0,1,0,0,0,1,0,0,0,0,0,1,14,8,4,23,8,4
5,-1.1899012192377647,108,-1.0540723172530422,-0.23534235587352326,-1.1522196970378327,-1.1528236739312157,0,6,0.2131284054909488,-0.6675489877124582,0.5982729660265983,-1.5579669609867923,-1.1316159848290517,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16,8,4,20,8,4
6,-1.1899012192377647,335,0.02453879583803407,-1.038752633369953,-0.850504717723464,1.335110064091834,2,6,1.084052448777386,-0.1850346859941705,-0.11754842085075826,-1.3852939004184035,-1.5647135585250054,2,0,0,0,1,0,0,0,0,0,1,0,0,1,19,8,4,1,9,4
7,0.507554088801715,162,-0.2648519570296686,1.197623901673459,0.01759129999092115,-0.031368138782864305,2,5,0.4829321658210535,-0.2545077522174839,-0.8615368172210836,0.8288194466063646,0.1676767362588095,1,0,1,0,0,0,0,1,0,0,0,0,1,0,22,8,4,2,9,4
8,0.02256685793329226,302,0.40403423555518975,0.36395094851024645,0.055515803389587594,-1.186752732152206,1,1,0.2938577747723374,-0.6650288388195037,-0.4413993083633103,-1.3275047858746298,-1.5647135585250054,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,9,4,10,9,4
9,-0.6079165421956573,493,0.04337210811441858,-0.5140070535036073,-0.853405522983969,0.9224216631116778,2,3,-0.6508956117647152,1.0436756355888657,0.6531441473050469,0.48922919532428594,0.1676767362588095,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,9,4,7,9,4
10,-1.1899012192377647,452,1.6589158415230267,-0.2286391964868877,-1.0390228392716745,-0.11528806540894576,0,3,-0.9029937749098012,-0.2980072722152492,-1.187712674627114,0.8261675928089847,-0.3388822818533546,2,0,0,1,0,0,1,0,0,0,0,0,1,0,6,9,4,16,9,4
11,-1.1899012192377647,206,-1.1192370939305567,0.3575764663420705,-1.1452614707921678,1.4580130386619525,3,4,1.120155368157716,0.4172394568776989,-1.0608743816806698,-0.9957884180199389,-0.26542083743714423,2,1,0,0,0,0,0,0,1,0,0,1,0,0,9,9,4,19,9,4
12,0.507554088801715,78,-0.919620492404848,-0.19939828404755397,-1.5734892365789,-0.7909330931400718,2,0,-1.434078138674575,0.6276113500687808,0.4920839687498539,1.2815011520982276,-1.5647135585250054,2,0,1,0,0,0,0,0,0,0,1,0,0,1,12,9,4,22,9,4
13,1.235034935104349,16,-0.38418445985309774,0.7506894284139526,-1.4959241933679537,-1.0773948917520324,1,1,-1.2434884004063502,-1.3772377726129912,1.1408601498955755,0.5665454022668718,-1.5647135585250054,1,0,0,1,0,0,0,0,0,0,1,1,0,0,15,9,4,17,9,4
14,0.02256685793329226,327,-1.194579163225775,1.2460351831168732,-0.45240607099579677,1.3854957202644327,0,5,-0.9704792659268238,-0.3479163072631368,0.06804357717006748,1.2712308990158003,1.4669694573466707,1,0,0,0,1,0,0,1,0,0,0,0,1,0,17,9,4,0,10,4
15,0.507554088801715,96,-1.360983227545829,1.0865492095700033,-0.12701276157924066,-0.3720461238025567,1,1,0.9371917566847114,-0.6697246852327786,0.021847097722272366,1.6351350981339694,0.1676767362588095,0,1,0,0,0,0,0,1,0,0,0,1,0,0,20,9,4,5,10,4
16,1.235034935104349,147,-0.7002811445349804,0.4091028519162741,-1.0865274326232954,0.980899662514934,2,1,-1.5978739613040196,-0.16036677543825448,1.12333916805107,-1.589529795715081,-0.8998074000455533,2,0,0,0,1,0,0,0,1,0,0,0,0,1,23,9,4,5,10,4
17,1.1226057883753273,2,-0.8206071261299177,1.1213122962443935,1.7183450728239535,-0.4704890231249368,2,4,0.7671701206696198,0.866846986487656,0.9997865204053729,-0.7317251212240602,1.4669694573466707,2,1,0,0,0,0,0,0,0,1,0,0,1,0,2,10,4,7,10,4
18,-1.1899012192377647,10,-0.8619570581080456,-1.3399136679941297,-1.4160351629759713,-1.4999657646371385,2,5,0.35176308617845775,-0.010521165844413292,-1.5695937119910064,0.2119386861302798,1.033871883650717,1,0,0,1,0,0,1,0,0,0,0,1,0,0,5,10,4,13,10,4
19,1.235034935104349,434,-0.0003343918271041217,-1.3782738160461294,-0.3995359597271243,0.2351673134106975,2,6,0.2654076695628866,-1.3135737776686274,1.5195786169839018,1.4951684487245065,-1.5647135585250054,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,10,4,16,10,4
20,-1.1899012192377647,125,0.26732429009846975,0.29373725320451766,1.4171800352237993,-1.4385319536355443,0,3,-1.5115360141639325,2.3986064655421986,1.070785904911042,-0.4088322062197699,-0.26542083743714423,1,1,0,0,0,0,0,0,1,0,0,0,0,1,10,10,4,13,10,4
21,-1.1899012192377647,81,0.34960227041674835,0.8480727465041498,0.3329285176507258,0.5881916471960388,3,2,-1.3540195917423792,0.1636827637086611,-1.6481954695267678,1.2624596816124776,-0.26542083743714423,1,0,0,0,1,0,0,0,1,0,0,1,0,0,13,10,4,20,10,4
22,-0.6079165421956573,485,0.7551783926370015,0.6245166386220611,-0.02499711698657863,1.1446358558237033,2,0,0.9308243508681285,0.048773364267971166,0.788793054841909,-1.215375047019426,0.6007743099547632,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16,10,4,20,10,4
23,0.02256685793329226,140,0.3000208015327091,0.2766644124610258,-0.49446907046638994,-0.7160062881325197,1,6,-0.004395288603575278,-0.6243204992736852,1.726347303620612,1.6657235206587877,0.2793884963905611,2,1,0,0,0,0,1,0,0,0,0,0,0,1,18,10,4,22,19,4
24,1.235034935104349,326,1.1816438635660824,-0.18663179065067548,1.7408753579025955,1.4752107462542308,0,5,-1.2423376768543302,-0.06650063128735959,1.5202158585127774,-0.7880122075204468,0.6007743099547632,2,0,0,0,0,1,0,0,0,1,0,0,1,0,21,10,4,22,10,4
25,1.235034935104349,150,-0.6888288496319167,-1.2372210276749012,-1.0772946482382622,0.13828275964638187,0,3,0.6796952330668093,-0.5733531332492,0.2379824010883755,1.3971936689073177,0.1676767362588095,0,0,0,0,0,1,0,1,0,0,0,0,0,1,19,19,4,23,19,4
26,0.02256685793329226,288,-0.11299554459070629,1.258487930007041,-0.9981758971304417,1.5084403137691433,0,6,1.2970727091801464,0.2842885331412427,-0.8446310862972366,0.42313658198622334,-1.1316159848290517,2,0,1,0,0,0,0,0,0,0,1,0,1,0,22,19,4,5,20,4
27,0.02256685793329226,361,0.038580783506826456,1.3040896754523077,0.7499143871653631,0.4556404226701317,1,4,1.64630980518041,0.7427877790985112,-0.8666128598834193,0.9853645875855329,-1.4082721466335186,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,20,4,2,20,4
28,-1.1899012192377647,340,-1.4795527756165419,-0.6804072833456359,1.4527293811788182,-1.1812625242821357,3,0,2.044577453676205,1.1340716212465294,0.1092746794446191,-0.6582421376905762,-1.5647135585250054,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,20,4,12,20,4
29,0.02256685793329226,129,-0.5019727466450514,0.16056473208676678,1.6631112287319612,0.28525470830875926,1,5,-0.598477654652093,-1.2146777386473946,-0.015157041501467667,0.3450094314819668,-0.26542083743714423,1,1,0,0,0,0,0,0,1,0,0,1,0,0,6,20,4,7,20,4
30,0.02256685793329226,438,0.6387728788153366,0.8333498309422517,1.4552932199066468,0.9844911354496723,1,5,-0.8278549392271318,0.5778642189626032,0.3893554104504347,-0.1976430409493416,-1.5647135585250054,2,1,0,0,0,0,1,0,0,0,0,1,0,0,9,20,4,16,20,4
31,1.235034935104349,239,-1.0611847461106771,-0.7861750047316294,-1.3845615833257527,1.339290801040998,1,3,-0.7400463328138166,0.17073002351302638,-0.015157041501467667,-0.4661320106112671,-0.698518411133098,2,0,1,0,0,0,0,0,0,1,0,1,0,0,12,20,4,22,20,4
32,1.235034935104349,58,-0.19949700135933707,-0.2467515910293829,-1.016798503101252,-0.5154324143058062,2,3,1.1017973025849248,-0.5578202044521818,1.0189153719695094,-0.8762162131803065,1.033871883650717,0,1,0,0,0,0,1,0,0,0,0,0,1,0,15,20,4,21,20,4
33,1.235034935104349,198,-1.2140348770315406,-0.9074283432661588,-0.32430746452085923,0.36165352936108647,2,1,-1.0607108371551504,0.7648119921228478,-1.4085201886553944,1.62694441473183,-1.1316159848290517,1,1,0,0,0,0,0,0,0,1,0,1,0,0,17,20,4,22,20,4
34,-0.6079165421956573,211,0.7978635924558533,-1.1976574317718867,-1.3400506300969672,-0.4202833399521762,1,1,-1.090734706185983,-1.3884948199388008,-1.2789926801397482,-0.08579715068948739,-1.1316159848290517,1,0,0,0,0,1,0,1,0,0,0,1,0,0,20,20,4,4,21,4
35,0.02256685793329226,402,0.6905748362066398,-0.3731687630431746,-1.5719637825413306,1.2050936912034589,1,5,-0.30158022639324955,0.26393078757849225,0.04874686002074337,0.8880732283162883,-0.7811651792133931,2,0,1,0,0,0,0,1,0,0,0,0,0,1,23,20,4,8,21,4
36,0.02256685793329226,390,-0.2413866992113619,0.5867236970372234,-0.518575211014113,0.6806189728645538,2,2,-1.0238017715812997,-0.10316287666485656,-0.9228114569671622,3.012922987748515,0.1676767362588095,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,21,4,10,21,4
37,0.02256685793329226,45,-0.12386956525369823,1.1319881238898668,0.1963293051948498,-0.6230354930633557,2,4,1.5261800865178607,-1.4488566210694316,-0.609821888518926,1.0925507690328833,-1.1316159848290517,2,0,1,0,0,0,1,0,0,0,0,1,0,0,4,21,4,13,21,4
38,0.02256685793329226,97,1.4078575525056194,-1.1586693510861747,0.9160857449154787,-0.6204882256764875,3,3,0.006040958244496561,1.1394733752855524,-1.3298530784816769,1.2590372406875203,1.033871883650717,2,0,0,1,0,0,0,0,0,1,0,0,0,1,7,21,4,8,21,4
39,0.507554088801715,279,0.8644374532119142,-0.9324289963363398,-0.9841381316845526,0.3679358502877155,1,1,1.6145683852427861,0.24873061523182566,-0.14662307918701747,-0.6409550130671915,1.4669694573466707,1,0,0,0,0,1,0,0,1,0,0,0,1,0,10,21,4,13,21,4
40,1.235034935104349,23,1.1693118329253942,0.9174398492686502,-0.19290605136854966,-1.3075491043068364,0,4,-1.3334541487055285,-1.1164822384902782,-0.2763184279669616,-1.2448096816047338,-0.698518411133098,1,0,0,0,1,0,0,1,0,0,0,0,0,1,13,21,4,17,21,4
41,0.255322112181256,410,1.1390953848365817,-0.28948403044125276,-1.3952607616512318,0.620708040072615,3,0,1.3186187146166277,-0.7389124952922453,-0.4045492593566328,1.3469654436926815,-0.71184364444363,1,1,0,0,0,0,0,0,1,0,0,1,0,0,16,21,4,23,21,4
42,1.235034935104349,461,-0.14868332282519334,0.12100108964668158,-0.4017687954542315,0.37854349048151376,0,6,-0.8675546240529265,1.2384542582840101,-0.5073539355741649,0.30470896913936313,-0.29068634878104777,1,0,0,0,0,1,0,1,0,0,0,0,1,0,18,21,4,21,21,4
43,0.507554088801715,391,-1.4012032746422365,-0.8443019178900635,0.25813610643444984,0.8830720833508354,3,6,-0.5191420215561773,-0.47823788607621676,-0.8387761881774797,1.6291107361795116,0.1676767362588095,0,1,0,0,0,0,0,1,0,0,0,0,1,0,21,21,4,4,22,4
44,-1.2482702744234562,335,1.5757943405902606,0.7173300992634901,-1.2861020771749532,-1.506103006543094,1,5,-1.4122530894357261,0.5388707117757808,-0.11356324744621071,0.45906274587931006,-1.1316159848290517,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,22,4,1,22,4
45,0.02256685793329226,44,0.002110578179302879,0.9679855496248194,-1.5258901569058212,0.6965966640128871,0,3,-1.4090610490700735,3.3858529546331333,-1.2428720244298626,1.12986916628709,0.029108404461884074,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3,22,4,9,22,4
46,-0.6079165421956573,27,0.19060120434077,1.5166530462612495,-0.6612331057270271,-1.1111946500850516,2,6,0.007012409124927155,0.9270812214287784,0.6759542090149457,-1.0321790328738525,-1.1316159848290517,2,0,0,0,0,1,0,0,1,0,0,0,1,0,5,22,4,10,22,4
47,0.02256685793329226,282,1.1371447976206523,-0.15486980405032755,1.7328536250973277,-0.3275810781352476,3,0,0.5778484282970818,0.3870986080286931,-0.6692100955544888,-0.8140965067283019,0.6007743099547632,0,0,0,0,1,0,0,0,0,0,1,0,1,0,8,22,4,12,1,5
48,-0.6079165421956573,97,-0.5465583861831127,-0.5993663002514693,-1.4351994995098996,-0.4112168227337849,0,3,1.1215469230968937,0.09024430369103417,-1.6062586306701112,0.85201190864225,-1.5647135585250054,1,0,0,1,0,0,1,0,0,0,0,0,1,0,11,22,4,12,22,4
49,0.507554088801715,463,0.002110578179302879,-0.49587483371232566,-0.864046005715812,-0.8782087051775967,3,1,1.1917471528640433,0.7500552438790686,0.709002308731796,-1.3294750946667349,-1.1316159848290517,0,0,0,0,1,0,0,0,1,0,0,1,0,0,9,1,5,13,1,5
